Alpha, Beta, Latent Features, Steps, NDCG, R-Precision
100, 100, 10, 50, 0.4697641302850063, 0.2461628892097408
100, 100, 10, 100, 0.43404995299761123, 0.22576066081558072
100, 100, 10, 150, 0.4575726785271269, 0.2294826912218217
100, 100, 50, 50, 0.48410925864296095, 0.25086674114934987
100, 100, 50, 100, 0.43449751117691654, 0.21484497083094553
100, 100, 50, 150, 0.4927169677717266, 0.2579180104020257
100, 100, 90, 50, 0.5262381475442752, 0.2846760798528533
100, 100, 90, 100, 0.5251194500648917, 0.2838153927393058
100, 100, 90, 150, 0.5173881655612477, 0.2797022573366967
100, 1, 10, 50, 0.4392566502564864, 0.2247907593296609
100, 1, 10, 100, 0.3798163654293963, 0.17625920856412844
100, 1, 10, 150, 0.3842339380905809, 0.18341028421575648
100, 1, 50, 50, 0.3460452421964842, 0.15371981662348977
100, 1, 50, 100, 0.3589477245322114, 0.1637217243223911
100, 1, 50, 150, 0.3315881968964318, 0.16289351531170754
100, 1, 90, 50, 0.4460260112021344, 0.23109080050384398
100, 1, 90, 100, 0.43382980543001926, 0.221153905169052
100, 1, 90, 150, 0.43328521377461, 0.2080666555250513
100, 0.01, 10, 50, 0.38521432791568444, 0.18886054055276022
100, 0.01, 10, 100, 0.3990867862010622, 0.19427749665793145
100, 0.01, 10, 150, 0.4144918467253385, 0.19833170734257685
100, 0.01, 50, 50, 0.3139034219419199, 0.14169615167441255
100, 0.01, 50, 100, 0.32791385513027677, 0.15115425544901248
100, 0.01, 50, 150, 0.330059236853229, 0.1502527290497976
100, 0.01, 90, 50, 0.4264802505412074, 0.20912664796472896
100, 0.01, 90, 100, 0.39353905995978633, 0.1902357211607783
100, 0.01, 90, 150, 0.42583168582054653, 0.20444568375153085
100, 0.0001, 10, 50, 0.4096137395624657, 0.20211619840521075
100, 0.0001, 10, 100, 0.39434853146999466, 0.1854415077675947
100, 0.0001, 10, 150, 0.3604796493855601, 0.16747204018177742
100, 0.0001, 50, 50, 0.3929556008314946, 0.17617295642646275
100, 0.0001, 50, 100, 0.34780079033620015, 0.15675341280963467
100, 0.0001, 50, 150, 0.33474122170455245, 0.1522977726782075
100, 0.0001, 90, 50, 0.4322402234847088, 0.1970718918762397
100, 0.0001, 90, 100, 0.4185227473813674, 0.2049985003941644
100, 0.0001, 90, 150, 0.4210370434639773, 0.20482470329508962
100, 1e-06, 10, 50, 0.40267381830547955, 0.20457247462682243
100, 1e-06, 10, 100, 0.36455360026881967, 0.18387528011441057
100, 1e-06, 10, 150, 0.3619012121068329, 0.1698158025680712
100, 1e-06, 50, 50, 0.3690633260765501, 0.17629918461953104
100, 1e-06, 50, 100, 0.3267629288525083, 0.1418105441257615
100, 1e-06, 50, 150, 0.3802310792730705, 0.176810186190621
100, 1e-06, 90, 50, 0.42772415690174703, 0.20434703481592537
100, 1e-06, 90, 100, 0.41228516429450773, 0.19543182300790993
100, 1e-06, 90, 150, 0.41091097146385636, 0.1974888379482201
1, 100, 10, 50, 0.5292051528463593, 0.2569063129524149
1, 100, 10, 100, 0.5089099613522706, 0.24428963427876468
1, 100, 10, 150, 0.4872047358682086, 0.2281961906853211
1, 100, 50, 50, 0.542816693704604, 0.27201388451788905
1, 100, 50, 100, 0.48486948807003705, 0.24727122153209108
1, 100, 50, 150, 0.4703414608013635, 0.2239846148215713
1, 100, 90, 50, 0.5089615159430373, 0.23883963681939693
1, 100, 90, 100, 0.4948947979651613, 0.24407786979526108
1, 100, 90, 150, 0.4839111635877297, 0.2238983590779929
1, 1, 10, 50, 0.5794122060046436, 0.305421683791249
1, 1, 10, 100, 0.5757373729385893, 0.30530769914465566
1, 1, 10, 150, 0.5482737692635576, 0.3049961736894784
1, 1, 50, 50, 0.5359242088948565, 0.28711632570328227
1, 1, 50, 100, 0.5772320253258127, 0.30163939905349446
1, 1, 50, 150, 0.544755924849474, 0.28682654780668276
1, 1, 90, 50, 0.4631407224893101, 0.23236399093321286
1, 1, 90, 100, 0.4856493432190897, 0.23748433088650484
1, 1, 90, 150, 0.5043249745231313, 0.25711135402439755
1, 0.01, 10, 50, 0.5404173630996458, 0.2793779529649095
1, 0.01, 10, 100, 0.5411687758889289, 0.2804268376550985
1, 0.01, 10, 150, 0.5771518743096743, 0.31158365278674205
1, 0.01, 50, 50, 0.5636535064328867, 0.3011126756246697
1, 0.01, 50, 100, 0.5495695113275771, 0.2799681885247853
1, 0.01, 50, 150, 0.5407543639655581, 0.281792299890126
1, 0.01, 90, 50, 0.516911305354059, 0.26146935190413456
1, 0.01, 90, 100, 0.44274096778553285, 0.2154772256728778
1, 0.01, 90, 150, 0.4633204298506718, 0.22940524813350902
1, 0.0001, 10, 50, 0.5584577837274118, 0.2863981990549496
1, 0.0001, 10, 100, 0.5924197781171957, 0.3306966514077498
1, 0.0001, 10, 150, 0.5916520264077916, 0.3079814026553157
1, 0.0001, 50, 50, 0.5423003317624369, 0.2830508427842327
1, 0.0001, 50, 100, 0.546080081131129, 0.26328747443408534
1, 0.0001, 50, 150, 0.5762268690810706, 0.31272257620860955
1, 0.0001, 90, 50, 0.44862245035430515, 0.21428825280999203
1, 0.0001, 90, 100, 0.47973045749401927, 0.23465071388159847
1, 0.0001, 90, 150, 0.5063619121547384, 0.2555177816081707
1, 1e-06, 10, 50, 0.5644781432432053, 0.3014009060063269
1, 1e-06, 10, 100, 0.5563616966861121, 0.29929117387301535
1, 1e-06, 10, 150, 0.5656903372097414, 0.30256780900259167
1, 1e-06, 50, 50, 0.5193636699389396, 0.26371937281719887
1, 1e-06, 50, 100, 0.5406948692758976, 0.28045375464116096
1, 1e-06, 50, 150, 0.5490901269854356, 0.2890395743547917
1, 1e-06, 90, 50, 0.4825639759524255, 0.23365499891243596
1, 1e-06, 90, 100, 0.4664798434301087, 0.22784874757925735
1, 1e-06, 90, 150, 0.4437664789130456, 0.21602488131835956
0.01, 100, 10, 50, 0.260897573087287, 0.2582787438698234
0.01, 100, 10, 100, 0.2380583788920007, 0.21915447710184552
0.01, 100, 10, 150, 0.25107902988715136, 0.24680299335846567
0.01, 100, 50, 50, 0.523088341125441, 0.2578129969453058
0.01, 100, 50, 100, 0.5245801829714768, 0.25738876743224565
0.01, 100, 50, 150, 0.5134692842431059, 0.25313921329539185
0.01, 100, 90, 50, 0.4651175354446032, 0.23349341822682787
0.01, 100, 90, 100, 0.5267714880208596, 0.2668895221440988
0.01, 100, 90, 150, 0.5304008791235308, 0.2501223528240612
0.01, 1, 10, 50, 0.5278128935523329, 0.2587131853281345
0.01, 1, 10, 100, 0.507100590219002, 0.237573312355921
0.01, 1, 10, 150, 0.47617793148880194, 0.22992707362558623
0.01, 1, 50, 50, 0.4745220585190887, 0.21865103813117304
0.01, 1, 50, 100, 0.4925801508440205, 0.23682883192322546
0.01, 1, 50, 150, 0.48212567009118323, 0.22885118716865344
0.01, 1, 90, 50, 0.49946333309538654, 0.24214803674586288
0.01, 1, 90, 100, 0.5439861809435805, 0.26942348936342075
0.01, 1, 90, 150, 0.4828540269027955, 0.22075575919604556
0.01, 0.01, 10, 50, 0.45377504662199664, 0.2024976171171824
0.01, 0.01, 10, 100, 0.4745239427150694, 0.21401004310137903
0.01, 0.01, 10, 150, 0.47600774190583933, 0.22259095043019528
0.01, 0.01, 50, 50, 0.3370649306963688, 0.14100809388144667
0.01, 0.01, 50, 100, 0.32417617826655903, 0.15655797865580473
0.01, 0.01, 50, 150, 0.37407217209343446, 0.16497261586620857
0.01, 0.01, 90, 50, 0.263892258959217, 0.11351323214516615
0.01, 0.01, 90, 100, 0.2957023058171453, 0.1194111186296541
0.01, 0.01, 90, 150, 0.32714597384779337, 0.13257670831583873
0.01, 0.0001, 10, 50, 0.4970066220744913, 0.2318994948277478
0.01, 0.0001, 10, 100, 0.4811935720079651, 0.21806298153567943
0.01, 0.0001, 10, 150, 0.5033303060794572, 0.228459467367602
0.01, 0.0001, 50, 50, 0.3588769820107857, 0.1592761083521953
0.01, 0.0001, 50, 100, 0.38937861882757197, 0.18335770750988142
0.01, 0.0001, 50, 150, 0.35553285818016367, 0.15758146239725188
0.01, 0.0001, 90, 50, 0.31427886594979326, 0.1347358687164179
0.01, 0.0001, 90, 100, 0.32554744463807656, 0.13077786916108194
0.01, 0.0001, 90, 150, 0.31783518698602486, 0.13578386809269163
0.01, 1e-06, 10, 50, 0.519475261981099, 0.25024582244605126
0.01, 1e-06, 10, 100, 0.48677894635313057, 0.22414942997987658
0.01, 1e-06, 10, 150, 0.4586193763344852, 0.22698247225471616
0.01, 1e-06, 50, 50, 0.37831636562878096, 0.16622820979342717
0.01, 1e-06, 50, 100, 0.35806520871936653, 0.1559321244787985
0.01, 1e-06, 50, 150, 0.3019013655763985, 0.13007580824972131
0.01, 1e-06, 90, 50, 0.27657855499314715, 0.12068511451345035
0.01, 1e-06, 90, 100, 0.3298104230728689, 0.1333491870448392
0.01, 1e-06, 90, 150, 0.33624415736962304, 0.1373112925305579
0.0001, 100, 10, 50, 0.040423683004728664, 0.014801864801864803
