alpha, beta, latent_features, steps, C, NDCG
100000000.0, 100000000.0, 3, 1, 1000, 0.4923286682337688
100000000.0, 100000000.0, 3, 1, 100, 0.5098997973175667
100000000.0, 100000000.0, 3, 1, 1, 0.49381093849840335
100000000.0, 100000000.0, 3, 1, 0.1, 0.4856657258833952
100000000.0, 100000000.0, 3, 1, 0.01, 0.4860069672310011
100000000.0, 100000000.0, 3, 1, 0.001, 0.5023063529055406
100000000.0, 100000000.0, 3, 1, 0.0001, 0.4646399172725942
100000000.0, 100000000.0, 3, 1, 1e-05, 0.49092976472446154
100000000.0, 100000000.0, 3, 1, 1e-06, 0.5066884101633535
100000000.0, 100000000.0, 3, 1, 0, 0.49227759638161556
100000000.0, 100000000.0, 3, 50, 1000, 0.49277482365284553
100000000.0, 100000000.0, 3, 50, 100, 0.4945025444997064
100000000.0, 100000000.0, 3, 50, 1, 0.4965591876380928
100000000.0, 100000000.0, 3, 50, 0.1, 0.487643500978086
100000000.0, 100000000.0, 3, 50, 0.01, 0.48203563919014086
100000000.0, 100000000.0, 3, 50, 0.001, 0.5316383094269338
100000000.0, 100000000.0, 3, 50, 0.0001, 0.4963665226259698
100000000.0, 100000000.0, 3, 50, 1e-05, 0.48524112574854866
100000000.0, 100000000.0, 3, 50, 1e-06, 0.49276459618345086
100000000.0, 100000000.0, 3, 50, 0, 0.4896756343280531
100000000.0, 100000000.0, 3, 100, 1000, 0.49011207970298926
100000000.0, 100000000.0, 3, 100, 100, 0.4849448496396723
100000000.0, 100000000.0, 3, 100, 1, 0.48469539997346806
100000000.0, 100000000.0, 3, 100, 0.1, 0.4937985436826037
100000000.0, 100000000.0, 3, 100, 0.01, 0.5146790056605377
100000000.0, 100000000.0, 3, 100, 0.001, 0.4952612140287143
100000000.0, 100000000.0, 3, 100, 0.0001, 0.48643783558530695
100000000.0, 100000000.0, 3, 100, 1e-05, 0.5001771433083667
100000000.0, 100000000.0, 3, 100, 1e-06, 0.5141044924758256
100000000.0, 100000000.0, 3, 100, 0, 0.5008305002454728
100000000.0, 100000000.0, 3, 150, 1000, 0.5002347788679046
100000000.0, 100000000.0, 3, 150, 100, 0.4741681325178797
100000000.0, 100000000.0, 3, 150, 1, 0.5038869410461531
100000000.0, 100000000.0, 3, 150, 0.1, 0.4949288646141073
100000000.0, 100000000.0, 3, 150, 0.01, 0.4840903178672528
100000000.0, 100000000.0, 3, 150, 0.001, 0.499706331667138
100000000.0, 100000000.0, 3, 150, 0.0001, 0.4914829392995644
100000000.0, 100000000.0, 3, 150, 1e-05, 0.48562511056769353
100000000.0, 100000000.0, 3, 150, 1e-06, 0.4969471559204126
100000000.0, 100000000.0, 3, 150, 0, 0.5000432963372514
100000000.0, 100000000.0, 3, 200, 1000, 0.4807065857817017
100000000.0, 100000000.0, 3, 200, 100, 0.491670448829866
100000000.0, 100000000.0, 3, 200, 1, 0.4918823418722327
100000000.0, 100000000.0, 3, 200, 0.1, 0.5165009648585709
100000000.0, 100000000.0, 3, 200, 0.01, 0.5074742100239912
100000000.0, 100000000.0, 3, 200, 0.001, 0.48244975460741607
100000000.0, 100000000.0, 3, 200, 0.0001, 0.47707230966538233
100000000.0, 100000000.0, 3, 200, 1e-05, 0.4805920547225078
100000000.0, 100000000.0, 3, 200, 1e-06, 0.49388879085222576
100000000.0, 100000000.0, 3, 200, 0, 0.48892225514758914
100000000.0, 100000000.0, 5, 1, 1000, 0.5000922869593596
100000000.0, 100000000.0, 5, 1, 100, 0.5043740299713299
100000000.0, 100000000.0, 5, 1, 1, 0.4812382867598378
100000000.0, 100000000.0, 5, 1, 0.1, 0.5061661089427962
100000000.0, 100000000.0, 5, 1, 0.01, 0.4943356538003828
100000000.0, 100000000.0, 5, 1, 0.001, 0.5074898056020205
100000000.0, 100000000.0, 5, 1, 0.0001, 0.5016971308146249
100000000.0, 100000000.0, 5, 1, 1e-05, 0.49414469359576835
100000000.0, 100000000.0, 5, 1, 1e-06, 0.46093659224685046
100000000.0, 100000000.0, 5, 1, 0, 0.4924878013565167
100000000.0, 100000000.0, 5, 50, 1000, 0.5047617603559434
100000000.0, 100000000.0, 5, 50, 100, 0.49750872056627654
100000000.0, 100000000.0, 5, 50, 1, 0.5021899668593107
100000000.0, 100000000.0, 5, 50, 0.1, 0.4878623211996453
100000000.0, 100000000.0, 5, 50, 0.01, 0.499576845354705
100000000.0, 100000000.0, 5, 50, 0.001, 0.5076784037104879
100000000.0, 100000000.0, 5, 50, 0.0001, 0.5195503389063936
100000000.0, 100000000.0, 5, 50, 1e-05, 0.49197830048513685
100000000.0, 100000000.0, 5, 50, 1e-06, 0.5034815064133662
100000000.0, 100000000.0, 5, 50, 0, 0.4967769117442533
100000000.0, 100000000.0, 5, 100, 1000, 0.4849119774763731
100000000.0, 100000000.0, 5, 100, 100, 0.49790294483822306
100000000.0, 100000000.0, 5, 100, 1, 0.5015803618431867
100000000.0, 100000000.0, 5, 100, 0.1, 0.4983650513493807
100000000.0, 100000000.0, 5, 100, 0.01, 0.4913345575306298
100000000.0, 100000000.0, 5, 100, 0.001, 0.5045920219342976
100000000.0, 100000000.0, 5, 100, 0.0001, 0.501669984399163
100000000.0, 100000000.0, 5, 100, 1e-05, 0.5079846298146768
100000000.0, 100000000.0, 5, 100, 1e-06, 0.4919043451251933
100000000.0, 100000000.0, 5, 100, 0, 0.5045595026821375
100000000.0, 100000000.0, 5, 150, 1000, 0.48587772101370574
100000000.0, 100000000.0, 5, 150, 100, 0.478525174153524
100000000.0, 100000000.0, 5, 150, 1, 0.4969148598500265
100000000.0, 100000000.0, 5, 150, 0.1, 0.5021631571280597
100000000.0, 100000000.0, 5, 150, 0.01, 0.5168461832029627
100000000.0, 100000000.0, 5, 150, 0.001, 0.4780212309467145
100000000.0, 100000000.0, 5, 150, 0.0001, 0.4978163131247001
100000000.0, 100000000.0, 5, 150, 1e-05, 0.47994229973646446
100000000.0, 100000000.0, 5, 150, 1e-06, 0.49590344511093093
100000000.0, 100000000.0, 5, 150, 0, 0.47558743954083477
100000000.0, 100000000.0, 5, 200, 1000, 0.509514039542959
100000000.0, 100000000.0, 5, 200, 100, 0.48541086672123557
100000000.0, 100000000.0, 5, 200, 1, 0.5060857180511915
100000000.0, 100000000.0, 5, 200, 0.1, 0.4855477666884106
100000000.0, 100000000.0, 5, 200, 0.01, 0.49443510390577816
100000000.0, 100000000.0, 5, 200, 0.001, 0.4859833529126284
100000000.0, 100000000.0, 5, 200, 0.0001, 0.49478422062135047
100000000.0, 100000000.0, 5, 200, 1e-05, 0.49547517057966284
100000000.0, 100000000.0, 5, 200, 1e-06, 0.49817208186290046
100000000.0, 100000000.0, 5, 200, 0, 0.4920641997550284
