alpha, latent_features, steps, learning_rate, C, NDCG
10000, 15, 250, 1e-06, 20, 0.238274420106532
10000, 15, 250, 1e-06, 19, 0.2398740028302365
10000, 15, 250, 1e-06, 18, 0.2391712289756566
10000, 15, 250, 1e-06, 17, 0.2389878942139478
10000, 15, 250, 1e-06, 16, 0.23918968088887876
10000, 15, 250, 1e-06, 15, 0.2390697033709546
10000, 15, 250, 1e-06, 14, 0.23758918596564377
10000, 15, 250, 1e-06, 13, 0.2369843002029493
10000, 15, 250, 1e-06, 12, 0.23967403104871368
10000, 15, 250, 1e-06, 11, 0.23909985378802062
10000, 15, 250, 1e-06, 10, 0.2393309865764549
