alpha, beta, latent_features, steps, NDCG
100, 100, 5, 50, 0.2972960933264159
100, 100, 5, 100, 0.30040155591868367
100, 100, 5, 150, 0.2986925008002351
100, 100, 5, 200, 0.2939794273206254
100, 100, 10, 50, 0.3301232405566409
100, 100, 10, 100, 0.3259939512275667
100, 100, 10, 150, 0.32118190262825613
100, 100, 10, 200, 0.32801115707238626
100, 100, 20, 50, 0.33660255780300014
100, 100, 20, 100, 0.31847485604797826
100, 100, 20, 150, 0.3209790143158444
100, 100, 20, 200, 0.3309511435944468
100, 100, 30, 50, 0.32728834910570836
100, 100, 30, 100, 0.3354860532335696
100, 100, 30, 150, 0.33699680629419765
100, 100, 30, 200, 0.32623301869614507
100, 100, 50, 50, 0.34022765430850194
100, 100, 50, 100, 0.35013278889875593
100, 100, 50, 150, 0.3534313609468334
100, 100, 50, 200, 0.35116312815143924
100, 100, 80, 50, 0.3735248772845791
100, 100, 80, 100, 0.37996959568752287
100, 100, 80, 150, 0.3811017051562628
100, 100, 80, 200, 0.37007653292228293
100, 100, 100, 50, 0.3821687352462325
100, 100, 100, 100, 0.379022993852691
100, 100, 100, 150, 0.38019905800764153
100, 100, 100, 200, 0.38289380153651126
100, 10, 5, 50, 0.2554755739102033
100, 10, 5, 100, 0.25812787817924165
100, 10, 5, 150, 0.26115491011816067
100, 10, 5, 200, 0.26394168349458286
100, 10, 10, 50, 0.2527124396621978
100, 10, 10, 100, 0.24392679892736613
100, 10, 10, 150, 0.25914400543427923
100, 10, 10, 200, 0.2391565440219652
100, 10, 20, 50, 0.2126749655616389
100, 10, 20, 100, 0.22164784564929207
100, 10, 20, 150, 0.22584596495067163
100, 10, 20, 200, 0.21903232210136417
100, 10, 30, 50, 0.2382168879236703
100, 10, 30, 100, 0.23404204486178332
100, 10, 30, 150, 0.23043684243651844
100, 10, 30, 200, 0.2298654770912788
100, 10, 50, 50, 0.2693955553277718
100, 10, 50, 100, 0.26200893226830413
100, 10, 50, 150, 0.27446134642980174
100, 10, 50, 200, 0.26608900553147746
100, 10, 80, 50, 0.2974403784360663
100, 10, 80, 100, 0.2999041718543395
100, 10, 80, 150, 0.3008624173047177
100, 10, 80, 200, 0.29605991082362615
100, 10, 100, 50, 0.3106534074230704
100, 10, 100, 100, 0.2957596562659824
100, 10, 100, 150, 0.2971260457335441
100, 10, 100, 200, 0.30930178751985293
100, 1, 5, 50, 0.2642261489133635
100, 1, 5, 100, 0.2630479897279026
100, 1, 5, 150, 0.2506959721258052
100, 1, 5, 200, 0.25617013761112123
100, 1, 10, 50, 0.24886092568618953
100, 1, 10, 100, 0.23096399817636343
100, 1, 10, 150, 0.2430112850179181
100, 1, 10, 200, 0.23081470381248653
100, 1, 20, 50, 0.20746211985063934
