alpha, beta, latent_features, steps, error_limit, fit_error_limit, learning_rate, NDCG
10000, 1e-10, 20, 300, 1e-06, 1e-05, 1e-06, 0.43157970492604225
10000, 10000, 20, 900, 1e-06, 1e-05, 1e-06, 0.4325333719626572
10000, 1, 20, 700, 1e-06, 1e-05, 1e-06, 0.4294331477196535
10000, 0.0001, 75, 300, 1e-06, 1e-05, 1e-07, 0.43507153828515527
10000, 0.0001, 20, 1000, 1e-06, 1e-05, 1e-06, 0.43918979453160645
10000, 1e-06, 20, 900, 1e-06, 1e-05, 1e-06, 0.43469175779082136
10000, 100, 20, 800, 1e-06, 1e-05, 1e-06, 0.43201596953524907
10000, 1, 75, 300, 1e-06, 1e-05, 1e-07, 0.43393955964291897
10000, 0.0001, 100, 300, 1e-06, 1e-05, 1e-07, 0.4394101219476694
10000, 1e-10, 20, 1000, 1e-06, 1e-05, 1e-06, 0.4297567620468211
10000, 1e-06, 20, 500, 1e-06, 1e-05, 1e-06, 0.4320053668878649
10000, 1e-08, 100, 300, 1e-06, 1e-05, 1e-07, 0.43758299679906365
10000, 0.01, 20, 700, 1e-06, 1e-05, 1e-06, 0.4310738586080219
10000, 100, 20, 700, 1e-06, 1e-05, 1e-06, 0.43415587146451107
10000, 1e-06, 20, 1000, 1e-06, 1e-05, 1e-06, 0.43118339750821205
10000, 1e-06, 20, 600, 1e-06, 1e-05, 1e-06, 0.43388961493709366
10000, 100, 20, 1000, 1e-06, 1e-05, 1e-06, 0.4351316314292706
10000, 0.0001, 20, 500, 1e-06, 1e-05, 1e-06, 0.4327687752920203
10000, 0.01, 75, 300, 1e-06, 1e-05, 1e-07, 0.43550222439198705
10000, 100, 20, 200, 1e-06, 1e-05, 1e-06, 0.4290050223416495
10000, 1e-10, 20, 700, 1e-06, 1e-05, 1e-06, 0.43309888800385377
10000, 1e-08, 20, 1000, 1e-06, 1e-05, 1e-06, 0.4331175040155726
10000, 0.01, 20, 100, 1e-06, 1e-05, 1e-06, 0.42865255070086067
10000, 100, 75, 300, 1e-06, 1e-05, 1e-07, 0.4345082266350364
10000, 1e-10, 20, 400, 1e-06, 1e-05, 1e-06, 0.4329947189642731
10000, 0.01, 20, 1000, 1e-06, 1e-05, 1e-07, 0.4313938331285039
10000, 10000, 20, 800, 1e-06, 1e-05, 1e-06, 0.4351518082131217
10000, 1e-06, 75, 300, 1e-06, 1e-05, 1e-07, 0.4357072669294748
10000, 0.0001, 20, 700, 1e-06, 1e-05, 1e-06, 0.43302383479809725
10000, 100, 100, 300, 1e-06, 1e-05, 1e-07, 0.43984629088135724
10000, 10000, 20, 200, 1e-06, 1e-05, 1e-06, 0.4325041488166595
10000, 10000, 20, 1000, 1e-06, 1e-05, 1e-07, 0.4290325814222884
10000, 1, 20, 400, 1e-06, 1e-05, 1e-06, 0.4324431795168781
10000, 1, 20, 200, 1e-06, 1e-05, 1e-06, 0.42947682604370185
10000, 1, 20, 1000, 1e-06, 1e-05, 1e-06, 0.4349353529691963
10000, 0.01, 20, 600, 1e-06, 1e-05, 1e-06, 0.4335924322997457
10000, 0.01, 20, 400, 1e-06, 1e-05, 1e-06, 0.430961804404557
10000, 1e-08, 50, 300, 1e-06, 1e-05, 1e-07, 0.4286748214683953
10000, 1, 100, 300, 1e-06, 1e-05, 1e-07, 0.43773882368007055
10000, 1e-06, 100, 300, 1e-06, 1e-05, 1e-07, 0.4393016274922804
10000, 1e-06, 20, 200, 1e-06, 1e-05, 1e-06, 0.4327822956943358
10000, 1e-06, 50, 300, 1e-06, 1e-05, 1e-07, 0.4294611677264386
10000, 0.01, 100, 300, 1e-06, 1e-05, 1e-07, 0.4386445847516661
10000, 10000, 20, 300, 1e-06, 1e-05, 1e-06, 0.4334823620094108
10000, 1, 20, 300, 1e-06, 1e-05, 1e-06, 0.43227521888322046
10000, 100, 20, 300, 1e-06, 1e-05, 1e-06, 0.43215399066243015
10000, 10000, 75, 300, 1e-06, 1e-05, 1e-07, 0.4305837080926218
10000, 0.0001, 20, 400, 1e-06, 1e-05, 1e-06, 0.43400977618006337
10000, 1e-10, 100, 300, 1e-06, 1e-05, 1e-07, 0.4389733397760305
10000, 1, 20, 500, 1e-06, 1e-05, 1e-06, 0.43108322389566583
10000, 1e-08, 20, 600, 1e-06, 1e-05, 1e-06, 0.43480494714590706
10000, 0.01, 20, 300, 1e-06, 1e-05, 1e-06, 0.43404046848985883
10000, 10000, 20, 600, 1e-06, 1e-05, 1e-06, 0.4334645622357827
10000, 1e-10, 20, 1000, 1e-06, 1e-05, 1e-07, 0.43290638994163194
10000, 1e-08, 20, 400, 1e-06, 1e-05, 1e-06, 0.43344984147443183
10000, 1e-10, 20, 800, 1e-06, 1e-05, 1e-06, 0.432050025912919
10000, 0.01, 20, 200, 1e-06, 1e-05, 1e-06, 0.431917328673093
