alpha, beta, latent_features, steps, c, NDCG
1, 1, 3, 100, 0.01, 0.525475478163477
1, 1, 3, 50, 1e-06, 0.5234838381385397
1, 1, 3, 150, 0.001, 0.52581867158537
1, 0.01, 3, 50, 1e-05, 0.5240339079329459
1, 1, 3, 200, 0.0001, 0.5257689837279427
1, 1, 3, 200, 0.001, 0.5257211110650823
1, 1, 3, 50, 0.01, 0.5259992752894282
1, 1, 3, 150, 0.0001, 0.5226788751243676
1, 1, 3, 200, 0.1, 0.5197542860101583
1, 1, 3, 100, 0, 0.5248538225361307
1, 1, 3, 50, 1e-05, 0.5267975243213892
1, 0.01, 3, 50, 0, 0.5245609942190465
1, 1, 3, 50, 0.001, 0.5239383331385901
1, 1, 3, 200, 1e-05, 0.5273962742532791
1, 1, 3, 100, 0.0001, 0.5237269583331245
1, 0.01, 3, 200, 1e-05, 0.5224931329985364
1, 0.01, 3, 150, 1e-06, 0.5240319029048837
1, 1, 3, 50, 0, 0.5265184832544476
1, 1, 3, 150, 0, 0.5267139784614329
1, 1, 3, 150, 0.01, 0.5267394700623501
1, 1, 3, 150, 1e-05, 0.524527922362748
1, 1, 3, 150, 1e-06, 0.5244031823293757
1, 1, 3, 150, 0.1, 0.5233816397887294
1, 1, 3, 50, 0.1, 0.5229138146640121
1, 1, 3, 200, 0, 0.5228005742152629
1, 1, 3, 200, 0.01, 0.525848332574409
1, 1, 3, 100, 1e-06, 0.5256779283159327
1, 1, 3, 200, 1e-06, 0.5246075773237104
1, 1, 3, 100, 1e-05, 0.5265395460850198
1, 0.01, 3, 100, 1e-06, 0.5243440007945178
1, 0.01, 3, 200, 0.0001, 0.5215382150712221
1, 1, 5, 150, 0, 0.5185927256212518
1, 0.01, 3, 200, 1e-06, 0.5243896946334152
1, 0.01, 3, 100, 1e-05, 0.523061783847712
1, 0.01, 3, 150, 1e-05, 0.5228449758629184
1, 0.01, 3, 50, 0.0001, 0.5251467967098384
1, 0.0001, 3, 50, 1e-06, 0.520493708020611
1, 0.01, 3, 200, 0, 0.5229359713457558
1, 1, 3, 100, 0.1, 0.5260036878992128
1, 0.01, 3, 100, 0, 0.5219960412962994
1, 0.0001, 3, 100, 1e-06, 0.5177865261227445
1, 0.01, 3, 100, 0.0001, 0.52243436246042
1, 0.01, 3, 150, 0, 0.5250340925145662
1, 1, 5, 150, 1e-06, 0.5173203458945745
1, 1, 5, 150, 0.01, 0.5182067209683839
1, 0.0001, 3, 50, 0, 0.5198630808991872
1, 1, 5, 100, 0.001, 0.5198212582458626
1, 1, 5, 150, 0.001, 0.5180102232212149
1, 0.01, 3, 150, 0.0001, 0.5227131723477383
1, 1, 5, 100, 1e-06, 0.5189435281503483
1, 1, 5, 50, 0, 0.5187049354626121
1, 1, 5, 50, 0.01, 0.5212371548215181
1, 1, 5, 200, 0.001, 0.5171241419160002
1, 1, 5, 200, 0, 0.5188338408996445
1, 1, 5, 50, 1e-06, 0.5194126042715336
1, 1, 5, 100, 1e-05, 0.5199063033840269
1, 1, 5, 100, 0.0001, 0.519359717930245
