alpha, beta, c, latent_features, steps, NDCG
1, 0.0001, 0.1, 10, 250, 0.4913704267077776
1, 1e-06, 0.1, 10, 100, 0.5095003963672989
1, 1e-06, 1, 10, 100, 0.49706048192326174
1, 1, 0.01, 10, 150, 0.5157766211057142
1, 0.0001, 1, 10, 200, 0.5048481427921375
1, 1, 10, 10, 100, 0.5042897697403247
1, 1e-06, 0.1, 10, 200, 0.5083379229755072
1, 1, 10, 10, 250, 0.5124725552933197
1, 0.01, 10, 10, 150, 0.5148599499176336
1, 0.0001, 0.1, 10, 100, 0.49594796526601126
1, 1e-06, 1, 10, 150, 0.5000618244667077
1, 0.0001, 0.1, 10, 150, 0.4945473641351835
1, 1, 10, 10, 150, 0.5080156403901036
1, 1e-06, 0.01, 10, 200, 0.4934595609744285
1, 1e-06, 1, 10, 250, 0.5065124524745936
1, 1, 100, 10, 150, 0.5018137031559496
1, 1, 100, 10, 200, 0.5111590808764253
1, 0.01, 10, 10, 200, 0.5073234865747303
100, 100, 0.1, 110, 250, 0.4793620215876279
1, 1, 10, 10, 200, 0.5126264867527496
1, 0.0001, 0.01, 10, 100, 0.48109603707233084
1, 1, 0.01, 10, 100, 0.515816915149476
100, 100, 0.01, 30, 150, 0.48880830321527197
100, 100, 0.1, 10, 100, 0.4769112568048407
100, 100, 0.01, 110, 150, 0.47279925460502453
1, 0.0001, 1, 10, 150, 0.4967882806594486
1, 1, 1, 10, 100, 0.48423735692369513
100, 100, 0.1, 70, 150, 0.47708018902329313
1, 0.0001, 10, 10, 250, 0.487540742465902
1, 1, 0.01, 10, 200, 0.5122283971349957
1, 0.01, 1, 10, 150, 0.4934439442591209
1, 0.0001, 1, 10, 100, 0.5025687022846506
1, 1e-06, 0.1, 10, 150, 0.49570101054481863
100, 100, 0.01, 50, 200, 0.481876800950279
100, 100, 0.1, 70, 200, 0.4760623521705177
1, 0.01, 1, 10, 200, 0.49048566228226365
100, 100, 0.1, 110, 100, 0.48079783888362293
1, 0.01, 10, 10, 100, 0.505119288216258
100, 100, 0.01, 30, 250, 0.49177187058169985
1, 1e-06, 1, 10, 200, 0.5057473570417976
1, 0.0001, 0.1, 10, 200, 0.49638892996435874
1, 0.0001, 0.01, 10, 200, 0.4820970575942594
100, 100, 0.01, 90, 250, 0.48221197951501144
1, 1, 0.01, 10, 250, 0.5171699627074006
1, 1e-06, 0.01, 10, 250, 0.4879890534670045
100, 100, 0.1, 110, 200, 0.4850620560038691
100, 100, 0.01, 110, 250, 0.4843813808830868
1, 0.0001, 10, 10, 200, 0.47042620354711895
100, 100, 0.01, 70, 250, 0.48524298780451136
100, 1, 10, 30, 100, 0.46278439961778145
1, 1, 100, 10, 250, 0.5003942558777219
1, 1, 1, 10, 200, 0.47014299004418303
100, 100, 0.1, 90, 150, 0.47812197351780217
1, 1, 1, 10, 150, 0.485005746186018
100, 100, 0.01, 90, 100, 0.4812029045308206
100, 0.01, 0.1, 30, 100, 0.4534402236472988
100, 100, 0.01, 110, 200, 0.48815752740312546
1, 1e-06, 10, 10, 200, 0.47083387040800506
1, 1e-06, 0.01, 10, 150, 0.49314170444535615
100, 100, 0.01, 50, 250, 0.48401686198898347
100, 0.0001, 0.01, 30, 150, 0.46049110779280716
1, 0.0001, 0.01, 10, 150, 0.4839700368904191
1, 1, 0.1, 10, 200, 0.45860892767432554
1, 0.0001, 0.01, 10, 250, 0.481038453128082
1, 0.01, 1, 10, 250, 0.4866066388631845
1, 0.01, 10, 10, 250, 0.5032874780100336
1, 1, 100, 10, 100, 0.5094236554792958
100, 0.01, 0.01, 30, 250, 0.46290983056216756
100, 100, 0.01, 70, 100, 0.48457747481427804
1, 0.0001, 1, 10, 250, 0.5046374730779443
1, 1, 0.01, 90, 250, 0.4736328589467174
1, 0.01, 1, 10, 100, 0.4849805384553985
1, 1e-06, 0.1, 10, 250, 0.5012102083578596
100, 100, 0.1, 110, 150, 0.4958151997081891
1, 0.0001, 10, 10, 150, 0.46544958114560053
100, 1, 0.01, 30, 100, 0.4686194973916706
100, 0.0001, 0.1, 30, 100, 0.4622956754832579
100, 100, 0.01, 10, 200, 0.4789478607100352
100, 100, 0.1, 50, 200, 0.4892502266706872
100, 1, 1, 30, 250, 0.46455874457798646
100, 100, 0.01, 30, 200, 0.477901450594707
1, 1e-06, 0.01, 10, 100, 0.49894730620518946
1, 1, 1, 10, 250, 0.4950520469322379
100, 100, 0.01, 110, 100, 0.47900314204676253
100, 100, 0.1, 70, 100, 0.4774879865707522
100, 100, 0.01, 10, 100, 0.4750626513297336
100, 100, 0.1, 50, 150, 0.48904401803725517
100, 0.01, 0.1, 30, 150, 0.4611189955915821
100, 100, 0.1, 70, 250, 0.4826081534312799
1, 1, 0.01, 90, 100, 0.47073095019851285
100, 100, 0.1, 90, 250, 0.49219636445965464
100, 0.0001, 0.01, 30, 200, 0.4655347162675856
1, 0.0001, 10, 10, 100, 0.45861833586022793
1, 1, 0.01, 110, 250, 0.4687078518840068
100, 100, 0.1, 30, 150, 0.4752279985475319
100, 0.0001, 1, 30, 250, 0.4573011054984802
100, 0.0001, 1, 30, 200, 0.4604603988326209
1, 1, 0.1, 90, 100, 0.4596916576174131
100, 1, 0.01, 30, 200, 0.4613770695052458
100, 100, 0.01, 10, 150, 0.47880323112551365
1, 1, 0.01, 90, 150, 0.47034396643755916
100, 1, 10, 30, 150, 0.471289173206184
100, 0.01, 0.1, 30, 250, 0.45383932354070333
1, 1, 0.1, 110, 200, 0.46923943468646306
100, 0.0001, 0.01, 30, 250, 0.46226410985620997
100, 100, 0.1, 90, 200, 0.48593642325037234
1, 1, 0.01, 110, 150, 0.47525183163507895
1, 1, 0.01, 110, 200, 0.466396312444743
1, 1, 0.1, 90, 150, 0.46823754219918345
100, 1, 1, 30, 150, 0.46610278327551014
100, 1e-06, 0.01, 30, 100, 0.47155360463396806
100, 100, 0.01, 50, 150, 0.46940645182747665
100, 0.01, 0.1, 30, 200, 0.46335450170404047
100, 100, 0.1, 10, 250, 0.4914616976622156
1, 0.01, 100, 10, 200, 0.4768920424142921
1, 1, 0.1, 10, 150, 0.4559483881567309
100, 100, 0.01, 70, 200, 0.4791234538485775
100, 0.01, 0.01, 30, 200, 0.4450178539824628
1, 1e-06, 10, 10, 250, 0.48216304842282504
1, 1, 0.01, 30, 100, 0.44189833139497575
100, 1, 10, 30, 250, 0.4565846683379676
100, 100, 0.01, 90, 150, 0.4793233740192294
100, 100, 0.01, 70, 150, 0.482674616935076
100, 100, 100, 70, 200, 0.4359714535653894
100, 1e-06, 1, 30, 250, 0.45549429252980406
100, 1, 1, 30, 200, 0.468119589637337
1, 1, 0.1, 110, 250, 0.46018543000088047
100, 100, 0.1, 10, 200, 0.48683165284623364
1, 1e-06, 10, 10, 150, 0.4649390897313655
100, 100, 0.1, 30, 100, 0.4784953997261252
0.01, 0.0001, 100, 10, 100, 0.44866052868377243
100, 1e-06, 0.01, 30, 150, 0.45240750694578374
100, 100, 0.1, 50, 250, 0.4834343197728229
1, 0.01, 0.1, 10, 100, 0.4512498323196539
100, 100, 0.1, 10, 150, 0.47486714674269204
1, 0.01, 0.1, 10, 200, 0.46095423472639724
100, 1e-06, 0.1, 30, 200, 0.4460297868836801
1, 1, 0.01, 70, 250, 0.4663646872327236
