alpha, beta, latent_features, steps, error_limit, fit_error_limit, NDCG
0.01, 1e-08, 3, 350, 1e-06, 1e-05, 0.5194662311866304
0.0001, 1e-11, 3, 400, 1e-05, 0.0001, 0.5182402216181844
1, 1e-12, 3, 350, 1e-07, 1e-05, 0.518787202098984
0.1, 1e-09, 3, 350, 1e-07, 0.0001, 0.5191467678813901
0.1, 1e-11, 3, 350, 1e-05, 1e-05, 0.5190493753308658
0.01, 1e-08, 3, 400, 1e-05, 1e-05, 0.5198353638198422
0.1, 1e-11, 3, 400, 1e-07, 0.0001, 0.5190278762727494
0.001, 1e-09, 3, 400, 1e-07, 1e-05, 0.5193674911746965
0.01, 1e-09, 3, 250, 1e-07, 0.001, 0.5189755982839779
0.1, 1e-10, 3, 350, 1e-05, 0.0001, 0.5190324777799541
0.1, 1e-10, 3, 400, 1e-06, 1e-05, 0.5194258447337018
0.1, 1e-09, 3, 400, 1e-05, 1e-05, 0.5190822808459402
0.1, 1e-12, 3, 400, 1e-07, 0.0001, 0.5191466799875691
0.01, 1e-11, 3, 250, 1e-07, 0.001, 0.5184943731651904
0.001, 1e-12, 3, 350, 1e-07, 0.0001, 0.5185649465793742
0.01, 1e-09, 3, 400, 1e-07, 0.001, 0.5194291695387152
0.1, 1e-12, 3, 250, 1e-07, 0.0001, 0.5178195422697935
1, 1e-08, 3, 300, 1e-05, 1e-05, 0.5184791197169552
0.01, 1e-12, 3, 250, 1e-05, 0.0001, 0.5184137494465213
0.01, 1e-08, 3, 400, 1e-06, 1e-05, 0.5196531095980913
0.1, 1e-10, 3, 350, 1e-06, 0.001, 0.5189515132809812
0.001, 1e-12, 3, 350, 1e-05, 0.0001, 0.519472707750254
