alpha, beta, c, latent_features, steps, NDCG
100, 100, 100, 3, 100, 0.27127339399988193
100, 100, 100, 3, 150, 0.2370925123401284
100, 100, 100, 3, 200, 0.23534984414783375
100, 100, 100, 3, 250, 0.2647427220000458
100, 100, 100, 10, 100, 0.4354332917846411
100, 100, 100, 10, 150, 0.4139939326562101
100, 100, 100, 10, 200, 0.39116561122913746
100, 100, 100, 10, 250, 0.4068863487494025
100, 100, 100, 30, 100, 0.379683410435361
100, 100, 100, 30, 150, 0.4499325976788338
100, 100, 100, 30, 200, 0.46360303072172515
100, 100, 100, 30, 250, 0.44505344248629264
100, 100, 100, 50, 100, 0.3750649460452184
100, 100, 100, 50, 150, 0.40725620265740936
100, 100, 100, 50, 200, 0.44841142430358333
100, 100, 100, 50, 250, 0.4218411621637287
100, 100, 100, 70, 100, 0.3734118592651498
100, 100, 100, 70, 150, 0.4267791828860619
100, 100, 100, 70, 200, 0.46939955095287117
100, 100, 100, 70, 250, 0.42237564337734557
100, 100, 100, 90, 100, 0.37247370791765
100, 100, 100, 90, 150, 0.4173762514812133
100, 100, 100, 90, 200, 0.41729505531052885
100, 100, 100, 90, 250, 0.42563650024697863
100, 100, 100, 110, 100, 0.37503905889359784
100, 100, 100, 110, 150, 0.43339036442407397
100, 100, 100, 110, 200, 0.4299499772278583
100, 100, 100, 110, 250, 0.42770182644076393
100, 100, 10, 3, 100, 0.25968445434767595
100, 100, 10, 3, 150, 0.2451993853477687
100, 100, 10, 3, 200, 0.26806448722799553
100, 100, 10, 3, 250, 0.22791704680451055
100, 100, 10, 10, 100, 0.43583299004898424
100, 100, 10, 10, 150, 0.4313151691289051
100, 100, 10, 10, 200, 0.4190081564626227
100, 100, 10, 10, 250, 0.43685133701637846
100, 100, 10, 30, 100, 0.4325488810659401
100, 100, 10, 30, 150, 0.43075684393770397
100, 100, 10, 30, 200, 0.4365194891678856
100, 100, 10, 30, 250, 0.4370003251772436
100, 100, 10, 50, 100, 0.45187908058069404
100, 100, 10, 50, 150, 0.448427904546108
100, 100, 10, 50, 200, 0.4190825424692152
100, 100, 10, 50, 250, 0.42940717793720573
100, 100, 10, 70, 100, 0.45645071129693787
100, 100, 10, 70, 150, 0.4156893356063675
100, 100, 10, 70, 200, 0.4240516932727576
100, 100, 10, 70, 250, 0.45944755431056733
100, 100, 10, 90, 100, 0.43421115306831726
100, 100, 10, 90, 150, 0.4351014712437625
100, 100, 10, 90, 200, 0.44778646990193394
100, 100, 10, 90, 250, 0.43122780045786663
100, 100, 10, 110, 100, 0.43255258673163505
100, 100, 10, 110, 150, 0.4540208705494439
100, 100, 10, 110, 200, 0.45252573526530804
100, 100, 10, 110, 250, 0.45883371503238585
100, 100, 1, 3, 100, 0.20314863613362666
100, 100, 1, 3, 150, 0.21806963725926704
100, 100, 1, 3, 200, 0.1974608639990575
100, 100, 1, 3, 250, 0.21044147919376016
100, 100, 1, 10, 100, 0.3985149841028251
100, 100, 1, 10, 150, 0.4335872090801006
100, 100, 1, 10, 200, 0.43051048139737214
100, 100, 1, 10, 250, 0.4272647373055254
100, 100, 1, 30, 100, 0.44452824095795407
100, 100, 1, 30, 150, 0.4157907987217029
100, 100, 1, 30, 200, 0.4287166034454849
100, 100, 1, 30, 250, 0.4049106043879062
100, 100, 1, 50, 100, 0.413891984740706
100, 100, 1, 50, 150, 0.4215315103610637
100, 100, 1, 50, 200, 0.40980504834780196
100, 100, 1, 50, 250, 0.41112883341482714
100, 100, 1, 70, 100, 0.41324064676425143
100, 100, 1, 70, 150, 0.41395033015811494
100, 100, 1, 70, 200, 0.42733935035993964
100, 100, 1, 70, 250, 0.43218296518161914
100, 100, 1, 90, 100, 0.4276475651248443
100, 100, 1, 90, 150, 0.4169529800904124
100, 100, 1, 90, 200, 0.4044067823304986
100, 100, 1, 90, 250, 0.4226093138140306
100, 100, 1, 110, 100, 0.42521738445220963
100, 100, 1, 110, 150, 0.42574332256108094
100, 100, 1, 110, 200, 0.44341111644334974
100, 100, 1, 110, 250, 0.426614385973382
100, 100, 0.1, 3, 100, 0.16005655530215812
100, 100, 0.1, 3, 150, 0.11064777330157717
100, 100, 0.1, 3, 200, 0.15782778046165133
100, 100, 0.1, 3, 250, 0.12617691296150121
100, 100, 0.1, 10, 100, 0.4995599776801795
100, 100, 0.1, 10, 150, 0.46739513362819524
100, 100, 0.1, 10, 200, 0.4687266817710504
100, 100, 0.1, 10, 250, 0.47185094264909044
100, 100, 0.1, 30, 100, 0.4683838575310646
100, 100, 0.1, 30, 150, 0.47584696248189073
100, 100, 0.1, 30, 200, 0.45966978119437985
100, 100, 0.1, 30, 250, 0.46318696244005303
100, 100, 0.1, 50, 100, 0.4460384361741722
100, 100, 0.1, 50, 150, 0.4778588354595087
100, 100, 0.1, 50, 200, 0.4807271809723526
100, 100, 0.1, 50, 250, 0.46764192177902
100, 100, 0.1, 70, 100, 0.4784278436597691
100, 100, 0.1, 70, 150, 0.49762491335896863
100, 100, 0.1, 70, 200, 0.49498338066711867
100, 100, 0.1, 70, 250, 0.4775347081997262
100, 100, 0.1, 90, 100, 0.46210383839103236
100, 100, 0.1, 90, 150, 0.4879057613532283
100, 100, 0.1, 90, 200, 0.4735275522915628
100, 100, 0.1, 90, 250, 0.47687409723294494
100, 100, 0.1, 110, 100, 0.494790970143255
100, 100, 0.1, 110, 150, 0.48272387079983053
100, 100, 0.1, 110, 200, 0.4891480067864791
100, 100, 0.1, 110, 250, 0.5047265109671392
100, 100, 0.01, 3, 100, 0.11498298001239654
100, 100, 0.01, 3, 150, 0.13494570694406202
100, 100, 0.01, 3, 200, 0.15824216976687916
100, 100, 0.01, 3, 250, 0.13872824134227627
100, 100, 0.01, 10, 100, 0.4779815514313458
100, 100, 0.01, 10, 150, 0.4753513065679822
100, 100, 0.01, 10, 200, 0.48079822620089635
100, 100, 0.01, 10, 250, 0.45633047415484
100, 100, 0.01, 30, 100, 0.4604937092689954
100, 100, 0.01, 30, 150, 0.5004089673814502
100, 100, 0.01, 30, 200, 0.4794115569575977
100, 100, 0.01, 30, 250, 0.492416427648098
100, 100, 0.01, 50, 100, 0.45335111047055576
100, 100, 0.01, 50, 150, 0.4719618380687176
100, 100, 0.01, 50, 200, 0.4953323264550456
100, 100, 0.01, 50, 250, 0.4850352480806639
100, 100, 0.01, 70, 100, 0.4836398895101264
100, 100, 0.01, 70, 150, 0.4695206170385072
100, 100, 0.01, 70, 200, 0.47033204452688765
100, 100, 0.01, 70, 250, 0.4884717249734633
100, 100, 0.01, 90, 100, 0.4873627117072094
100, 100, 0.01, 90, 150, 0.4695998104677655
100, 100, 0.01, 90, 200, 0.4492039087926031
100, 100, 0.01, 90, 250, 0.48975694636528216
100, 100, 0.01, 110, 100, 0.4791049008872259
100, 100, 0.01, 110, 150, 0.49920819089356905
100, 100, 0.01, 110, 200, 0.48583296601156695
100, 100, 0.01, 110, 250, 0.4889893010955442
100, 1, 100, 3, 100, 0.28611567703841867
100, 1, 100, 3, 150, 0.23417365308758026
100, 1, 100, 3, 200, 0.25103280112661003
100, 1, 100, 3, 250, 0.24314474058300814
100, 1, 100, 10, 100, 0.09397050705799449
100, 1, 100, 10, 150, 0.09139853818875522
100, 1, 100, 10, 200, 0.08488047138050754
100, 1, 100, 10, 250, 0.07155156053237505
100, 1, 100, 30, 100, 0.22254361652765955
100, 1, 100, 30, 150, 0.1890232818226348
100, 1, 100, 30, 200, 0.15851954011233424
100, 1, 100, 30, 250, 0.1450157951372325
100, 1, 100, 50, 100, 0.24168420070253505
100, 1, 100, 50, 150, 0.1915536521173318
100, 1, 100, 50, 200, 0.1366397534531337
100, 1, 100, 50, 250, 0.1097982262579757
100, 1, 100, 70, 100, 0.17463985229272777
100, 1, 100, 70, 150, 0.13466329792927564
100, 1, 100, 70, 200, 0.09549551742361319
100, 1, 100, 70, 250, 0.11554163032793956
100, 1, 100, 90, 100, 0.14853240496707115
100, 1, 100, 90, 150, 0.09382172828842983
100, 1, 100, 90, 200, 0.07286320636468066
100, 1, 100, 90, 250, 0.39960655037133685
100, 1, 100, 110, 100, 0.12043522097743764
100, 1, 100, 110, 150, 0.07881232666848048
100, 1, 100, 110, 200, 0.2394961474585187
100, 1, 100, 110, 250, 0.3969848773060211
100, 1, 10, 3, 100, 0.26264748614703665
100, 1, 10, 3, 150, 0.27258287238416734
100, 1, 10, 3, 200, 0.25283264477721956
100, 1, 10, 3, 250, 0.2373748196248775
100, 1, 10, 10, 100, 0.373141303030896
100, 1, 10, 10, 150, 0.3526158735530858
100, 1, 10, 10, 200, 0.3418311755982802
100, 1, 10, 10, 250, 0.3708616799542458
100, 1, 10, 30, 100, 0.48844979994180726
100, 1, 10, 30, 150, 0.47444491576936104
100, 1, 10, 30, 200, 0.4400779940887651
100, 1, 10, 30, 250, 0.46971636703221603
100, 1, 10, 50, 100, 0.44236111472535183
100, 1, 10, 50, 150, 0.40523849196158984
100, 1, 10, 50, 200, 0.4020990595759491
100, 1, 10, 50, 250, 0.3728745084676679
100, 1, 10, 70, 100, 0.34912916995269666
100, 1, 10, 70, 150, 0.3487657417136847
100, 1, 10, 70, 200, 0.3332760434022428
100, 1, 10, 70, 250, 0.3289773363437905
100, 1, 10, 90, 100, 0.38100204720756814
100, 1, 10, 90, 150, 0.316791704189266
100, 1, 10, 90, 200, 0.3238888286288881
100, 1, 10, 90, 250, 0.3417580711823726
100, 1, 10, 110, 100, 0.3698129967928434
100, 1, 10, 110, 150, 0.33404841619916675
100, 1, 10, 110, 200, 0.3291644221507676
100, 1, 10, 110, 250, 0.3411229781545871
100, 1, 1, 3, 100, 0.2467810018497763
100, 1, 1, 3, 150, 0.23102649770209524
100, 1, 1, 3, 200, 0.2563899088393395
100, 1, 1, 3, 250, 0.2512064227956148
100, 1, 1, 10, 100, 0.36867372782588786
100, 1, 1, 10, 150, 0.3761305371148612
100, 1, 1, 10, 200, 0.3553675712924228
100, 1, 1, 10, 250, 0.4126325944690831
100, 1, 1, 30, 100, 0.45473214693110037
100, 1, 1, 30, 150, 0.4722042777277737
100, 1, 1, 30, 200, 0.469276200857386
100, 1, 1, 30, 250, 0.4800298344661996
100, 1, 1, 50, 100, 0.3812216359560701
100, 1, 1, 50, 150, 0.3664507936756455
100, 1, 1, 50, 200, 0.3543261222339023
100, 1, 1, 50, 250, 0.3685558451595934
100, 1, 1, 70, 100, 0.32141897923760504
100, 1, 1, 70, 150, 0.31075182985901373
100, 1, 1, 70, 200, 0.2811041354395076
100, 1, 1, 70, 250, 0.2960317009882287
100, 1, 1, 90, 100, 0.33642044107555225
100, 1, 1, 90, 150, 0.3408046666871521
100, 1, 1, 90, 200, 0.3203202702859472
100, 1, 1, 90, 250, 0.34915179392503076
100, 1, 1, 110, 100, 0.30217747238497356
100, 1, 1, 110, 150, 0.3375402174923198
100, 1, 1, 110, 200, 0.32952617939037004
100, 1, 1, 110, 250, 0.36863874383885764
100, 1, 0.1, 3, 100, 0.20227642604275384
100, 1, 0.1, 3, 150, 0.20754747128958706
100, 1, 0.1, 3, 200, 0.1844249181228877
100, 1, 0.1, 3, 250, 0.2067079132380674
100, 1, 0.1, 10, 100, 0.3518166593670918
100, 1, 0.1, 10, 150, 0.40110003600848165
100, 1, 0.1, 10, 200, 0.40043920216990203
100, 1, 0.1, 10, 250, 0.4200305014892475
100, 1, 0.1, 30, 100, 0.4458376562032443
100, 1, 0.1, 30, 150, 0.4452664855682631
100, 1, 0.1, 30, 200, 0.46114248317426115
100, 1, 0.1, 30, 250, 0.46389545752067407
100, 1, 0.1, 50, 100, 0.4091758300244583
100, 1, 0.1, 50, 150, 0.3854273924645414
100, 1, 0.1, 50, 200, 0.40138444520023847
100, 1, 0.1, 50, 250, 0.35822792873497755
100, 1, 0.1, 70, 100, 0.3137231994945879
