alpha, beta, latent_features, learning_rate, percent_zeros, NDCG
100000, 1e-09, 500, 0.5, 1e-09, 0.504062659749296
1000000, 1e-10, 50, 0.5, 1e-10, 0.4971675221162029
10000000, 0.001, 300, 2, 1e-11, 0.5030394402471374
10000000, 1e-09, 200, 0.5, 1e-11, 0.4998529851618263
1000000000, 1e-09, 300, 0.5, 1e-13, 0.4982750390931043
1000000, 1e-10, 400, 1, 1e-10, 0.49948982847134366
100000000, 1e-08, 200, 1, 1e-12, 0.5026060832499356
1000000000, 1e-07, 500, 1, 1e-13, 0.4987952347569399
1000000000, 1e-06, 300, 0.5, 1e-13, 0.5044201211328317
1000000, 1e-08, 500, 1, 1e-10, 0.5016634683408236
1000000000, 0.0001, 500, 2, 1e-13, 0.5011474446060056
1000000000, 1e-09, 400, 1, 1e-13, 0.5042230066727728
100000, 1e-08, 500, 1, 1e-09, 0.4967538488188462
10000000, 0.0001, 50, 0.5, 1e-11, 0.4940174707145745
10000, 1e-09, 300, 1, 1e-08, 0.5061144249072748
1000000, 0.0001, 50, 2, 1e-10, 0.4928670055653418
100000000, 1e-06, 400, 1, 1e-12, 0.5053997117454682
1000000, 1e-06, 300, 1, 1e-10, 0.5056988058952174
1000000, 1e-10, 300, 2, 1e-10, 0.5052808347102467
10000, 1e-07, 50, 2, 1e-08, 0.49765305742867894
10000, 0.0001, 400, 2, 1e-08, 0.5021929526026642
10000, 1e-10, 400, 1, 1e-08, 0.5051269164899732
10000000, 1e-09, 50, 0.5, 1e-11, 0.4931658579202229
100000000, 1e-08, 300, 1, 1e-12, 0.502260537108196
10000000, 0.0001, 400, 0.5, 1e-11, 0.5004082438729094
10000, 0.0001, 500, 0.5, 1e-08, 0.5027140221156042
10000, 1e-06, 50, 1, 1e-08, 0.4945247802650583
10000000, 1e-05, 400, 1, 1e-11, 0.5026703549947038
10000000, 0.001, 500, 2, 1e-11, 0.5001729713422894
1000000, 1e-08, 100, 1, 1e-10, 0.4989304281715005
1000000000, 0.0001, 200, 1, 1e-13, 0.4958317791288137
1000000000, 1e-07, 50, 2, 1e-13, 0.49922035825823674
1000000, 0.0001, 50, 1, 1e-10, 0.49263002100966596
1000000, 1e-06, 300, 2, 1e-10, 0.5035361485554454
1000000000, 0.0001, 100, 0.5, 1e-13, 0.497837986420365
1000000, 0.001, 300, 2, 1e-10, 0.49931767112174835
100000000, 1e-05, 300, 1, 1e-12, 0.4977901837737395
1000000, 1e-06, 500, 1, 1e-10, 0.49275505588140156
100000, 1e-09, 50, 2, 1e-09, 0.48721752043086425
100000000, 0.0001, 300, 1, 1e-12, 0.4988448070129942
10000000, 1e-09, 500, 0.5, 1e-11, 0.49827914886733343
100000, 1e-07, 500, 2, 1e-09, 0.5014032476912946
100000, 0.001, 400, 1, 1e-09, 0.5025021705228593
10000000, 1e-08, 200, 0.5, 1e-11, 0.5042502153022242
1000000, 1e-05, 100, 2, 1e-10, 0.5013548334718088
10000000, 1e-08, 500, 0.5, 1e-11, 0.4972637092656205
1000000000, 1e-07, 400, 1, 1e-13, 0.5076296917504052
100000, 1e-06, 500, 0.5, 1e-09, 0.5055468129935347
1000000, 1e-08, 50, 0.5, 1e-10, 0.5000138990610357
100000000, 1e-07, 300, 0.5, 1e-12, 0.500860404600238
10000, 1e-07, 500, 0.5, 1e-08, 0.4945235255097434
1000000000, 0.0001, 500, 1, 1e-13, 0.5002049730059198
100000000, 0.001, 50, 1, 1e-12, 0.4965156671569871
10000000, 0.001, 100, 2, 1e-11, 0.4994189548254876
10000, 1e-08, 400, 0.5, 1e-08, 0.502347010239865
100000000, 1e-10, 100, 2, 1e-12, 0.5023861729411041
1000000, 0.001, 400, 0.5, 1e-10, 0.4975701688821899
1000000000, 0.001, 500, 0.5, 1e-13, 0.5024633012617034
1000000000, 1e-06, 200, 1, 1e-13, 0.503427315200825
10000000, 0.0001, 500, 2, 1e-11, 0.5078485489150374
100000, 1e-10, 100, 2, 1e-09, 0.5008684297164921
1000000, 1e-07, 100, 1, 1e-10, 0.5043627837249897
1000000, 1e-07, 200, 1, 1e-10, 0.5064674206922657
100000, 1e-08, 300, 2, 1e-09, 0.5054796339503091
100000, 1e-08, 500, 2, 1e-09, 0.5006355032983261
100000000, 1e-10, 200, 1, 1e-12, 0.4950011041958011
1000000000, 1e-06, 100, 0.5, 1e-13, 0.4985516438315325
100000000, 1e-05, 200, 1, 1e-12, 0.5013338686238438
1000000, 1e-07, 400, 2, 1e-10, 0.4992293297634108
1000000000, 1e-10, 400, 1, 1e-13, 0.5026933572360355
10000000, 1e-09, 500, 2, 1e-11, 0.5003334413709225
100000000, 1e-05, 400, 1, 1e-12, 0.5008023343564488
100000, 1e-08, 400, 1, 1e-09, 0.5028488871942819
10000000, 1e-10, 400, 1, 1e-11, 0.49909643774342655
10000000, 1e-05, 500, 0.5, 1e-11, 0.5018010169937906
1000000, 0.001, 200, 2, 1e-10, 0.5049325024657143
1000000, 0.001, 100, 1, 1e-10, 0.5028525588911228
10000000, 1e-07, 100, 0.5, 1e-11, 0.49748045414146846
100000, 0.0001, 200, 2, 1e-09, 0.49984010450871325
100000000, 1e-06, 300, 1, 1e-12, 0.5027205268478829
100000000, 1e-09, 300, 1, 1e-12, 0.49578800510701465
1000000, 1e-06, 200, 2, 1e-10, 0.5046922344325836
100000000, 1e-06, 100, 0.5, 1e-12, 0.503891013670705
1000000, 1e-10, 200, 2, 1e-10, 0.5004056389073158
10000000, 1e-10, 200, 0.5, 1e-11, 0.5022798834291285
100000000, 1e-05, 500, 2, 1e-12, 0.4961445557880027
1000000, 1e-05, 400, 1, 1e-10, 0.5005005258605637
100000000, 1e-09, 400, 1, 1e-12, 0.5016346431564078
1000000, 1e-10, 200, 0.5, 1e-10, 0.4974337965151978
1000000, 0.0001, 500, 1, 1e-10, 0.5024970282588826
1000000000, 1e-06, 300, 2, 1e-13, 0.5056098957970218
1000000, 0.001, 500, 0.5, 1e-10, 0.5017646516910139
100000000, 1e-07, 200, 1, 1e-12, 0.502761834095252
1000000, 0.001, 500, 1, 1e-10, 0.502263729576529
10000000, 1e-10, 50, 0.5, 1e-11, 0.4919765721965119
1000000, 1e-09, 400, 2, 1e-10, 0.5011744122625634
100000000, 1e-09, 300, 0.5, 1e-12, 0.5052708741542653
10000, 1e-07, 400, 2, 1e-08, 0.4996626815189181
10000000, 1e-10, 300, 1, 1e-11, 0.4997184975948038
1000000, 1e-05, 300, 0.5, 1e-10, 0.5063485618950918
100000000, 1e-08, 400, 2, 1e-12, 0.5075559107197722
