alpha, latent_features, steps, learning_rate NDCG
1, 300, 200, 0.1, 0.5278289315900032
1, 250, 600, 0.1, 0.5319177809181985
1, 400, 400, 0.05, 0.528904980840116
1, 500, 500, 0.05, 0.5286562183962534
1, 400, 900, 0.05, 0.527894175621052
1, 150, 200, 0.1, 0.5271642716367402
1, 150, 700, 0.1, 0.5305587409804863
1, 500, 700, 0.05, 0.5324058855656884
1, 500, 300, 0.05, 0.5287491743971369
1, 300, 400, 0.1, 0.5294027854243333
1, 250, 900, 0.1, 0.526424704708231
1, 300, 400, 0.05, 0.5310410611311526
1, 150, 400, 0.05, 0.526177279816312
1, 500, 200, 0.1, 0.5301036409962504
1, 200, 400, 0.1, 0.529718635767942
1, 500, 900, 0.5, 0.5211945043477915
1, 200, 900, 0.1, 0.5313021249645415
1, 250, 400, 0.05, 0.5269884500974793
1, 50, 400, 0.1, 0.5296298232967136
1, 400, 700, 0.1, 0.5272760049943781
1, 150, 800, 0.05, 0.5257828195836306
1, 500, 800, 0.1, 0.5243590244997078
1, 400, 800, 0.05, 0.5295649655243613
1, 300, 500, 0.05, 0.5284532541354137
1, 500, 600, 0.05, 0.5237395112359954
1, 300, 300, 0.05, 0.5313254395875442
1, 200, 600, 0.05, 0.5302082241639314
1, 400, 300, 0.1, 0.5258440966355269
1, 250, 200, 0.1, 0.5236857982908947
1, 250, 1000, 0.1, 0.5289383909849199
1, 250, 400, 0.1, 0.5293680495492088
1, 200, 800, 0.1, 0.5260042869774815
1, 250, 900, 0.05, 0.5286719498581522
1, 150, 500, 0.05, 0.5311369022725232
1, 150, 600, 0.1, 0.527027638022419
1, 500, 1000, 0.05, 0.529366561203593
1, 300, 700, 0.05, 0.525003026144549
1, 400, 500, 0.05, 0.5287334084908583
1, 400, 300, 0.05, 0.5293207774340432
1, 400, 500, 0.1, 0.524522840303161
1, 500, 700, 0.5, 0.5244317777631136
1, 200, 300, 0.05, 0.5272878866918177
1, 200, 600, 0.1, 0.5298860042523937
1, 300, 600, 0.05, 0.5287314862923348
1, 150, 300, 0.1, 0.5306228591890003
1, 250, 700, 0.1, 0.527782261738633
1, 100, 800, 0.05, 0.5283657072567775
1, 150, 1000, 0.05, 0.5262856152273243
1, 500, 900, 0.1, 0.5234266895383908
