alpha, latent_features, steps, learning_rate, NDCG
1, 50, 100, 1, 0.2305136372876945
1, 50, 100, 0.5, 0.24046255592470692
1, 50, 100, 0.1, 0.5031170578248984
1, 50, 100, 0.05, 0.496761791639043
1, 50, 100, 0.01, 0.4806016269538539
1, 50, 100, 0.005, 0.4562724800425944
1, 50, 100, 0.001, 0.28263790555356505
1, 50, 200, 1, 0.22695052682555922
1, 50, 200, 0.5, 0.235922222921527
1, 50, 200, 0.1, 0.29381450137349807
1, 50, 200, 0.05, 0.496491232040048
1, 50, 200, 0.01, 0.504500848861727
1, 50, 200, 0.005, 0.4956174706405731
1, 50, 200, 0.001, 0.3515857474761886
1, 50, 300, 1, 0.22952046173211688
1, 50, 300, 0.5, 0.24093936911358027
1, 50, 300, 0.1, 0.2488664462070915
1, 50, 300, 0.05, 0.36725399439239087
1, 50, 300, 0.01, 0.4974993662192426
1, 50, 300, 0.005, 0.4975764879445968
1, 50, 300, 0.001, 0.4051969242182182
1, 50, 400, 1, 0.23358368291799694
1, 50, 400, 0.5, 0.2300867197481334
1, 50, 400, 0.1, 0.23554742658870492
1, 50, 400, 0.05, 0.2937553497304563
1, 50, 400, 0.01, 0.4913237256117013
1, 50, 400, 0.005, 0.49558941778125964
1, 50, 400, 0.001, 0.4392706292399343
1, 50, 500, 1, 0.23082982613103742
1, 50, 500, 0.5, 0.2352533674105876
1, 50, 500, 0.1, 0.23680468383880027
1, 50, 500, 0.05, 0.264557210970898
1, 50, 500, 0.01, 0.5063818387187939
1, 50, 500, 0.005, 0.4991364525437269
1, 50, 500, 0.001, 0.46159141619399824
1, 50, 600, 1, 0.23881408358914596
1, 50, 600, 0.5, 0.2316438437727511
1, 50, 600, 0.1, 0.23671757982472233
1, 50, 600, 0.05, 0.2431999084096778
1, 50, 600, 0.01, 0.5023723589001686
1, 50, 600, 0.005, 0.5025165194296232
1, 50, 600, 0.001, 0.4761345012313068
1, 50, 700, 1, 0.23755941588878643
1, 50, 700, 0.5, 0.23130950371697534
1, 50, 700, 0.1, 0.2388351118331862
1, 50, 700, 0.05, 0.25034669995180053
1, 50, 700, 0.01, 0.5009544091038666
1, 50, 700, 0.005, 0.5017093325422692
1, 50, 700, 0.001, 0.48468987268054314
1, 50, 800, 1, 0.23025262663040463
1, 50, 800, 0.5, 0.22739062268140875
1, 50, 800, 0.1, 0.226892847019539
1, 50, 800, 0.05, 0.24687878550939688
1, 50, 800, 0.01, 0.5037798207695499
1, 50, 800, 0.005, 0.4958324506322857
1, 50, 800, 0.001, 0.4796024018654174
1, 50, 900, 1, 0.22999967715040442
1, 50, 900, 0.5, 0.23415650433046237
1, 50, 900, 0.1, 0.23401583600196854
1, 50, 900, 0.05, 0.23809035951395507
1, 50, 900, 0.01, 0.5004478582044831
1, 50, 900, 0.005, 0.5098499572222103
1, 50, 900, 0.001, 0.4807409479196903
1, 50, 1000, 1, 0.22918129472348922
1, 50, 1000, 0.5, 0.2454909682689132
1, 50, 1000, 0.1, 0.22440001646135505
1, 50, 1000, 0.05, 0.2376206868384623
1, 50, 1000, 0.01, 0.5106698519196808
1, 50, 1000, 0.005, 0.5054586618949791
1, 50, 1000, 0.001, 0.48770810882629057
1, 100, 100, 1, 0.15178163038325512
1, 100, 100, 0.5, 0.1481542886684699
1, 100, 100, 0.1, 0.50398393010146
1, 100, 100, 0.05, 0.5014606102740893
1, 100, 100, 0.01, 0.4838541960105044
1, 100, 100, 0.005, 0.42892238009919664
1, 100, 100, 0.001, 0.23924894197255026
1, 100, 200, 1, 0.07396006685791881
1, 100, 200, 0.5, 0.0875110115845452
1, 100, 200, 0.1, 0.5013375296856318
1, 100, 200, 0.05, 0.49990648693235007
1, 100, 200, 0.01, 0.49410387962010616
1, 100, 200, 0.005, 0.47518372800230396
1, 100, 200, 0.001, 0.31532715589740007
1, 100, 300, 1, 0.06787279126639949
1, 100, 300, 0.5, 0.07443490682914908
1, 100, 300, 0.1, 0.2889525697463975
1, 100, 300, 0.05, 0.5096154113308445
1, 100, 300, 0.01, 0.5009964311851888
1, 100, 300, 0.005, 0.4866207616012968
1, 100, 300, 0.001, 0.3652116914323467
1, 100, 400, 1, 0.06078449361356475
1, 100, 400, 0.5, 0.06980751390251731
1, 100, 400, 0.1, 0.1825113005640147
1, 100, 400, 0.05, 0.5006823493843904
1, 100, 400, 0.01, 0.5011384195271283
1, 100, 400, 0.005, 0.48890987545625797
1, 100, 400, 0.001, 0.40456715635670115
1, 100, 500, 1, 0.05895536482028231
1, 100, 500, 0.5, 0.06858156806986777
1, 100, 500, 0.1, 0.14711119224912594
1, 100, 500, 0.05, 0.3969018870238649
1, 100, 500, 0.01, 0.4975660047595602
1, 100, 500, 0.005, 0.4958666937320279
1, 100, 500, 0.001, 0.43560741628657534
1, 100, 600, 1, 0.06720574216167363
1, 100, 600, 0.5, 0.06852772915588069
1, 100, 600, 0.1, 0.11619582116414039
1, 100, 600, 0.05, 0.2965414941660912
1, 100, 600, 0.01, 0.503541030332063
1, 100, 600, 0.005, 0.4900030671068823
1, 100, 600, 0.001, 0.4352876831178991
1, 100, 700, 1, 0.06449759115738253
1, 100, 700, 0.5, 0.07254983140507094
1, 100, 700, 0.1, 0.10683061439610077
1, 100, 700, 0.05, 0.22790861320182354
1, 100, 700, 0.01, 0.5024049068278337
1, 100, 700, 0.005, 0.4994703496180852
1, 100, 700, 0.001, 0.4535097687936592
1, 100, 800, 1, 0.06853599482900241
1, 100, 800, 0.5, 0.0733984064169079
