alpha, beta, latent_features, learning_rate, percent_zeros, optimizer, embeddings, NDCG
1000000.0, 0, 100, 1e-08, 0.5, SGD, 0, nan
1000000.0, 0, 100, 1e-08, 0.25, SGD, 0, nan
1000000.0, 0, 100, 1e-10, 0.5, SGD, 0, nan
1000000.0, 0, 100, 1e-10, 0.25, SGD, 0, nan
1000000.0, 0, 100, 1e-12, 0.5, SGD, 0, 0.13450320284797987
1000000.0, 0, 100, 1e-12, 0.25, SGD, 0, 0.159201335427885
1000000.0, 0, 100, 1e-14, 0.5, SGD, 0, 0.030590149255536575
1000000.0, 0, 100, 1e-14, 0.25, SGD, 0, 0.029408405418788714
10000.0, 0, 100, 1e-08, 0.5, SGD, 0, nan
10000.0, 0, 100, 1e-08, 0.25, SGD, 0, nan
10000.0, 0, 100, 1e-10, 0.5, SGD, 0, 0.17760161937285635
10000.0, 0, 100, 1e-10, 0.25, SGD, 0, 0.13773092893792305
10000.0, 0, 100, 1e-12, 0.5, SGD, 0, 0.025090621443156255
10000.0, 0, 100, 1e-12, 0.25, SGD, 0, 0.02664736604161406
10000.0, 0, 100, 1e-14, 0.5, SGD, 0, 0.03025681145874189
10000.0, 0, 100, 1e-14, 0.25, SGD, 0, 0.02827814794874864
100.0, 0, 100, 1e-08, 0.5, SGD, 0, 0.16247285444547058
100.0, 0, 100, 1e-08, 0.25, SGD, 0, 0.14928302787167164
100.0, 0, 100, 1e-10, 0.5, SGD, 0, 0.031194197924651074
100.0, 0, 100, 1e-10, 0.25, SGD, 0, 0.0287876215697611
100.0, 0, 100, 1e-12, 0.5, SGD, 0, 0.02647913894635336
100.0, 0, 100, 1e-12, 0.25, SGD, 0, 0.03208203789641298
100.0, 0, 100, 1e-14, 0.5, SGD, 0, 0.028542824469509932
100.0, 0, 100, 1e-14, 0.25, SGD, 0, 0.029530108430468775
1, 0, 100, 1e-08, 0.5, SGD, 0, 0.024803699784307475
1, 0, 100, 1e-08, 0.25, SGD, 0, 0.02395871980596603
1, 0, 100, 1e-10, 0.5, SGD, 0, 0.030668643019908265
1, 0, 100, 1e-10, 0.25, SGD, 0, 0.03132830203021958
1, 0, 100, 1e-12, 0.5, SGD, 0, 0.031133033810405195
1, 0, 100, 1e-12, 0.25, SGD, 0, 0.027553295134595146
1, 0, 100, 1e-14, 0.5, SGD, 0, 0.03050005852714355
1, 0, 100, 1e-14, 0.25, SGD, 0, 0.03199750778712133
0.01, 0, 100, 1e-08, 0.5, SGD, 0, 0.026223386808390977
0.01, 0, 100, 1e-08, 0.25, SGD, 0, 0.02332024954460804
0.01, 0, 100, 1e-10, 0.5, SGD, 0, 0.0293207322532654
0.01, 0, 100, 1e-10, 0.25, SGD, 0, 0.024590998559111534
0.01, 0, 100, 1e-12, 0.5, SGD, 0, 0.027436955031380272
0.01, 0, 100, 1e-12, 0.25, SGD, 0, 0.024128067977002666
0.01, 0, 100, 1e-14, 0.5, SGD, 0, 0.032765081025695135
0.01, 0, 100, 1e-14, 0.25, SGD, 0, 0.029136770501174924
0.0001, 0, 100, 1e-08, 0.5, SGD, 0, 0.02265300542257095
0.0001, 0, 100, 1e-08, 0.25, SGD, 0, 0.019798453820782044
0.0001, 0, 100, 1e-10, 0.5, SGD, 0, 0.030024761561699673
0.0001, 0, 100, 1e-10, 0.25, SGD, 0, 0.027559236240086635
0.0001, 0, 100, 1e-12, 0.5, SGD, 0, 0.030659528426475638
0.0001, 0, 100, 1e-12, 0.25, SGD, 0, 0.025836017070448296
0.0001, 0, 100, 1e-14, 0.5, SGD, 0, 0.029923668787231742
0.0001, 0, 100, 1e-14, 0.25, SGD, 0, 0.026719631063144705
