K, cosine_ndcg, cosine_r, jaccard_ndcg, jaccard_r
1, 0.0, 0.0, 0.0, 0.0
10, 0.0, 0.0, 0.0, 0.0
20, 0.0, 0.0, 0.0, 0.0
30, 0.0, 0.0, 0.0, 0.0
40, 0.0, 0.0, 0.0, 0.0
50, 0.0, 0.0, 0.0, 0.0
60, 0.0, 0.0, 0.0, 0.0
70, 0.0, 0.0, 0.0, 0.0
80, 0.0, 0.0, 0.0, 0.0
90, 0.0, 0.0, 0.0, 0.0
100, 0.0, 0.0, 0.0, 0.0
110, 0.0, 0.0, 0.0, 0.0
120, 0.0, 0.0, 0.0, 0.0
130, 0.0, 0.0, 0.0, 0.0
140, 0.0, 0.0, 0.0, 0.0
150, 0.0, 0.0, 0.0, 0.0
160, 0.0, 0.0, 0.0, 0.0
170, 0.0, 0.0, 0.0, 0.0
180, 0.0, 0.0, 0.0, 0.0
190, 0.0, 0.0, 0.0, 0.0
200, 11.34563888562927, 13.966964285714294, 11.534739634582944, 14.05188492063493
