n,ndcg,ndcg_feat
1,0.569,0.529
2,0.5325522942,0.502038557
3,0.5400899998,0.5194824363
4,0.5486698599,0.5262240092
5,0.5444279227,0.5242948377
6,0.5414906308,0.5193739733
7,0.5369467571,0.5202355128
8,0.5342249309,0.5178012295
9,0.5284811207,0.5165881891
10,0.5224541576,0.5121437868
11,0.5174245427,0.5067019607
12,0.5129834828,0.5013803266
13,0.5091405565,0.4956782684
14,0.5052084372,0.4915119568
15,0.5015344642,0.4870477813
16,0.4982879107,0.4828286051
17,0.4949708367,0.4781025767
18,0.4922566637,0.4731727746
19,0.4892537145,0.4685342759
20,0.4866631527,0.4646989342
21,0.483825281,0.4613007535
22,0.4812397355,0.4578105786
23,0.4790662938,0.4547646248
24,0.4767886387,0.4512774238
25,0.4745750293,0.4483401092
26,0.4724558513,0.4457246004
27,0.4707721622,0.4428208313
28,0.4691085071,0.440311135
29,0.4675095376,0.4378479052
30,0.4663317933,0.4356621439
31,0.4647943778,0.4335720663
32,0.4635234992,0.431688108
33,0.4622289802,0.4299279012
34,0.4610660365,0.4283165651
35,0.4599078317,0.4267426748
36,0.4587873318,0.4253274112
37,0.4578469428,0.4240087516
38,0.4569568539,0.4227254942
39,0.4561437208,0.4216292474
40,0.4553460813,0.420605312
41,0.4545387914,0.4197183359
42,0.4538095128,0.4187888032
43,0.4531968492,0.4179088419
44,0.4526169073,0.4171469804
45,0.4520414106,0.416419373
46,0.4515494877,0.4158832148
47,0.4510176925,0.4153198073
48,0.4506096636,0.41484657
49,0.4502151917,0.4144144559
50,0.4498773266,0.4140632688
51,0.4495677052,0.4137927469
52,0.4493379061,0.4136027465
53,0.4491467322,0.4134762142
54,0.4489717483,0.4134287086
55,0.4488546079,0.4134486489
56,0.4488017571,0.4135984747
57,0.4487780091,0.413789159
58,0.448791113,0.4140678974
59,0.4488599277,0.4144318805
60,0.4489839193,0.414905132
61,0.4491644083,0.4154760708
62,0.4493902156,0.4161196628
63,0.4496665526,0.416838265
64,0.4499816662,0.4176427542
65,0.4503629625,0.4185438318
66,0.4508334557,0.4195098846
67,0.4513185893,0.4204942635
68,0.4518482482,0.4215180756
69,0.4523144907,0.4223944281
70,0.4528137407,0.4231817011
71,0.4531776016,0.4238210148
72,0.4534073222,0.4242029876
73,0.4534620231,0.4243330829
74,0.4534902826,0.4243855834
75,0.4534885965,0.4243872313
76,0.4534900727,0.4243896524
77,0.4534918068,0.4243925953
78,0.4534938009,0.4243961192
79,0.4534963509,0.4244002843
80,0.4534995548,0.4244048363
81,0.4535041964,0.4244102663
82,0.453509812,0.4244171352
83,0.4535161938,0.4244245806
84,0.4535228521,0.4244322755
85,0.4535290697,0.4244402569
86,0.4535290697,0.4244402569
87,0.4535290697,0.4244402569
88,0.4535290697,0.4244402569
89,0.4535290697,0.4244402569
90,0.4535290697,0.4244402569
91,0.4535290697,0.4244402569
92,0.4535290697,0.4244402569
93,0.4535290697,0.4244402569
94,0.4535290697,0.4244402569
95,0.4535290697,0.4244402569
96,0.4535290697,0.4244402569
97,0.4535290697,0.4244402569
98,0.4535290697,0.4244402569
99,0.4535290697,0.4244402569
100,0.4535290697,0.4244402569
