N, NDCG
1, 0.545
2, 0.5214225677
3, 0.5425214209
4, 0.5527131359
5, 0.5534078664
6, 0.5501408362
7, 0.5462298713
8, 0.5427666202
9, 0.5381397562
10, 0.5319292632
11, 0.5258430298
12, 0.5193218933
13, 0.513672909
14, 0.507789788
15, 0.5015545381
16, 0.4960070277
17, 0.4909091071
18, 0.486150708
19, 0.4811067728
20, 0.4766840466
21, 0.4726231281
22, 0.468851943
23, 0.465045803
24, 0.4615796518
25, 0.4580154086
26, 0.4545110029
27, 0.4515013857
28, 0.4482988573
29, 0.4454759159
30, 0.4427726071
31, 0.4402166687
32, 0.4377939933
33, 0.4354709772
34, 0.4331727936
35, 0.4309358287
36, 0.4288142946
37, 0.4267601049
38, 0.4249685665
39, 0.4232978607
40, 0.4217194854
41, 0.4201756144
42, 0.4187207822
43, 0.4173182984
44, 0.4160450593
45, 0.4147875728
46, 0.4136317774
47, 0.4125972523
48, 0.4116139292
49, 0.410709861
50, 0.4098436347
51, 0.4090447549
52, 0.4082624491
53, 0.4075517193
54, 0.4068699596
55, 0.4062504867
56, 0.4056465909
57, 0.4051044605
58, 0.4046054057
59, 0.4041278191
60, 0.4037133547
61, 0.4033425066
62, 0.403015765
63, 0.4027340185
64, 0.4025144124
65, 0.4023225403
66, 0.4021819141
67, 0.402072269
68, 0.4020061558
69, 0.4019726646
70, 0.4019585155
71, 0.4019635537
72, 0.4019686917
73, 0.4019673899
74, 0.4019655254
75, 0.4019638972
76, 0.4019624914
77, 0.4019612614
78, 0.4019602371
79, 0.4019594255
80, 0.4019588383
81, 0.4019585325
82, 0.4019584187
83, 0.4019585347
84, 0.4019587338
85, 0.4019591427
86, 0.4019593657
87, 0.401959367
88, 0.401959367
89, 0.401959367
90, 0.401959367
91, 0.401959367
92, 0.401959367
93, 0.401959367
94, 0.401959367
95, 0.401959367
96, 0.401959367
97, 0.401959367
98, 0.401959367
99, 0.401959367
100, 0.401959367
