N, NDCG
1, 0.5446666667
2, 0.5196913931
3, 0.5441452975
4, 0.5512886749
5, 0.5528398901
6, 0.5524027045
7, 0.546538123
8, 0.5431186168
9, 0.5385645903
10, 0.5325943586
11, 0.5265342838
12, 0.5196163142
13, 0.51319791
14, 0.5070103848
15, 0.5010029079
16, 0.4955018532
17, 0.4905287379
18, 0.4859051769
19, 0.4814371077
20, 0.4771357264
21, 0.4730261109
22, 0.4689740041
23, 0.4652635605
24, 0.4616144895
25, 0.4583641827
26, 0.4551021501
27, 0.4520811891
28, 0.4488957214
29, 0.4460352401
30, 0.4432122387
31, 0.4406065288
32, 0.437980066
33, 0.4355283969
34, 0.4332228039
35, 0.4311341079
36, 0.4290822628
37, 0.4270330801
38, 0.4253259302
39, 0.4234943783
40, 0.4218556149
41, 0.4203022341
42, 0.4188459314
43, 0.4174926475
44, 0.4161529163
45, 0.414891168
46, 0.4137343941
47, 0.412695912
48, 0.4117013559
49, 0.4107931237
50, 0.4099274202
51, 0.4091703126
52, 0.4084128218
53, 0.4077031889
54, 0.4070287444
55, 0.4063691396
56, 0.4057991901
57, 0.405260386
58, 0.4047616864
59, 0.4043131206
60, 0.4039075943
61, 0.403530725
62, 0.4032174843
63, 0.4029412233
64, 0.4027101752
65, 0.4025204792
66, 0.4023872174
67, 0.402287971
68, 0.4022283514
69, 0.4022008252
70, 0.4021924674
71, 0.4022009697
72, 0.4022083462
73, 0.4022059789
74, 0.4022038557
75, 0.4022020729
76, 0.4022007189
77, 0.4021995831
78, 0.4021986828
79, 0.4021979098
80, 0.4021973953
81, 0.4021971596
82, 0.4021971399
83, 0.4021973049
84, 0.4021977152
85, 0.4021982101
86, 0.4021985006
87, 0.4021985308
88, 0.4021985308
89, 0.4021985308
90, 0.4021985308
91, 0.4021985308
92, 0.4021985308
93, 0.4021985308
94, 0.4021985308
95, 0.4021985308
96, 0.4021985308
97, 0.4021985308
98, 0.4021985308
99, 0.4021985308
100, 0.4021985308
