N, NDCG
1, 0.123598955
2, 0.2322190592
3, 0.2940923076
4, 0.3373215238
5, 0.3697929822
6, 0.3969139218
7, 0.4191223487
8, 0.4383453834
9, 0.4550091461
10, 0.4697454828
11, 0.4823949387
12, 0.4939255729
13, 0.5040555954
14, 0.5133992302
15, 0.5218822113
16, 0.5293520263
17, 0.5364945931
18, 0.5432827547
19, 0.5498265858
20, 0.5557299953
21, 0.5615517499
22, 0.5672054403
23, 0.5724384091
24, 0.5772861596
25, 0.5818031717
26, 0.5859306105
27, 0.5895477306
28, 0.5933988576
29, 0.5970043574
30, 0.6003418694
31, 0.6032226445
32, 0.6061373576
33, 0.6088795919
34, 0.611482624
35, 0.6138704582
36, 0.616208883
37, 0.618329593
38, 0.6203319869
39, 0.6224783173
40, 0.6242688575
41, 0.6258822548
42, 0.6274398537
43, 0.6289244684
44, 0.6304566819
45, 0.6319588226
46, 0.6332192189
47, 0.6343777756
48, 0.6354802721
49, 0.6365093209
50, 0.6374318701
51, 0.6384932705
52, 0.6394463384
53, 0.6402975619
54, 0.6410654483
55, 0.6418811883
56, 0.6425523626
57, 0.6431465432
58, 0.6437552198
59, 0.6442807537
60, 0.6448297252
61, 0.6452487184
62, 0.6456127001
63, 0.6459861293
64, 0.6463914648
65, 0.6467282288
66, 0.647084943
67, 0.647397249
68, 0.6476957886
69, 0.6478722376
70, 0.6480379473
71, 0.6482789962
72, 0.648453862
73, 0.6484981925
74, 0.6485349006
75, 0.6485349006
76, 0.6485349006
77, 0.6485349006
78, 0.6485349006
79, 0.6485349006
80, 0.6485349006
81, 0.6485349006
82, 0.6485349006
83, 0.6485349006
84, 0.6485349006
85, 0.6485349006
86, 0.6485349006
87, 0.6485349006
88, 0.6485349006
89, 0.6485349006
90, 0.6485349006
91, 0.6485349006
92, 0.6485349006
93, 0.6485349006
94, 0.6485349006
95, 0.6485349006
96, 0.6485349006
97, 0.6485349006
98, 0.6485349006
99, 0.6485349006
100, 0.6485349006
